Location,Population,Residents,Transfer,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
United States,307900319,300912903,6987416,106806,88850,211816,77226,562343,160623,91295,26631,437202,248892,61940,57831,269008,143228,74516,94180,99256,86593,33729,165041,145869,186505,103253,68597,138404,31204,52809,115943,43277,216369,61431,377800,225147,26563,206049,81009,109795,215127,31065,121426,29383,154243,404839,73211,18172,229227,190644,45956,105370,31991
Alabama,4745278,4627552,117726,0,1771,1677,1642,3389,348,2921,232,20063,19346,1259,137,6991,1434,30,842,2686,2413,626,1606,112,2797,327,3945,1086,317,770,257,64,1996,119,1108,2697,284,2596,973,169,1075,0,2036,90,8710,7973,300,66,4935,2621,65,417,9
Alaska,711962,676878,35084,93,0,2467,190,3098,1583,138,11,1188,556,1366,475,985,181,319,750,237,1077,0,216,141,771,593,554,921,248,5,532,520,128,226,940,470,0,319,616,2161,378,0,186,301,388,2492,662,68,1488,4548,89,23,246
Arizona,6402301,6179424,222877,833,5001,0,1066,49635,10189,1875,0,3732,2206,2199,2190,10035,5855,4526,1708,2134,844,0,1918,743,9396,3297,1226,3872,2431,1393,8756,228,3379,4610,3880,2548,1159,4682,3219,4613,3436,72,1774,1657,1680,12688,10577,0,2233,13940,70,6473,2510
Arkansas,2906632,2836787,69845,691,560,439,0,4077,746,519,79,3067,1446,13,179,3684,1362,851,2008,213,2120,30,133,781,1881,232,1731,7314,713,332,641,52,341,775,674,1664,214,174,3761,632,567,0,235,0,6462,14767,0,0,1245,1477,24,687,252
California,37222678,36754250,468428,2087,7358,35650,2648,0,21245,3073,1302,22094,13303,9864,4796,20834,4673,3324,2810,1201,3600,1658,7793,10244,12069,5687,2092,7677,2599,1955,36159,1222,8053,5904,25629,8708,1392,10474,5113,18165,8550,1103,5758,1004,8761,37087,8944,745,15753,36481,832,5668,2047
Colorado,5048443,4846319,202124,2340,3191,12338,1615,23234,0,1567,501,8075,3250,1852,1578,6027,2116,3510,3718,1361,908,1358,3303,2157,3225,3055,879,4552,4079,4582,4061,489,2863,8797,3998,4756,2249,5527,3824,5543,3348,435,718,1340,3193,22390,3856,914,6281,5524,412,3995,2942
Connecticut,3548667,3477165,71502,101,180,1387,84,3699,1502,0,62,4771,2000,587,133,1843,168,67,16,0,315,259,1267,8691,692,76,69,365,206,62,160,1221,3809,265,20015,1029,0,1383,217,117,3668,1488,997,0,123,1214,398,608,2555,2255,46,660,65
Delaware,897187,863275,33912,81,329,541,0,699,169,66,0,810,639,201,441,34,210,0,7,305,0,0,4238,806,43,201,0,713,0,12,0,0,6297,0,3141,388,0,664,27,0,8571,131,153,0,221,883,475,0,1064,482,198,55,463
Florida,18863948,18365351,498597,12635,7405,8451,3025,22420,9383,11704,1264,0,38658,3639,312,19152,11472,1846,2661,5441,6094,4689,15410,13701,19640,4663,5175,7114,559,3857,3527,4324,25206,1376,59288,23983,514,18191,2600,3315,20821,5002,11953,716,10451,25532,2343,2019,16614,6339,4964,7412,846
