Location,Population,Residents,Transfer,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Georgia,9699859,9428782,271077,18799,1079,4292,2112,14949,2325,709,619,42666,0,1006,126,6080,2442,950,4513,3686,6541,408,3708,4436,6992,1808,5380,2514,246,4144,774,132,8371,791,14454,19138,201,6863,1632,727,5791,337,16914,536,16898,15760,793,361,9438,3701,1340,2727,504
Hawaii,1357806,1300264,57542,1268,844,2900,242,10173,950,731,784,3160,2519,0,112,1884,402,478,125,18,179,106,341,92,1303,933,371,308,85,91,1548,107,564,354,4246,2307,32,970,685,2030,870,58,1681,0,636,3007,1040,0,2523,3790,312,147,14
Idaho,1559637,1499301,60336,263,4510,3543,224,9021,1813,0,0,1733,275,254,0,390,296,318,479,120,51,0,0,396,615,566,62,384,1602,439,3581,129,84,141,419,263,1201,260,288,7170,343,0,55,842,296,1303,6059,0,905,8991,0,165,487
Illinois,12718402,12502198,216204,2823,4119,7657,3185,13930,3271,1819,277,17548,6042,1269,393,0,23491,8420,2533,5569,1315,693,2565,3507,10274,4496,1521,13889,304,827,2454,590,3009,1573,6412,4057,105,8384,1002,792,3012,278,1582,1318,3223,11011,951,49,5233,3075,352,14507,58
Indiana,6437155,6309281,127874,1562,371,3975,2016,7649,1930,1227,79,8595,2543,1057,1368,23071,0,916,1321,10177,2241,275,480,952,7896,1168,469,1824,34,622,511,90,651,504,2518,3038,70,11109,844,505,3998,49,3306,235,3879,6326,123,530,1486,1028,216,2923,117
Iowa,3027718,2957313,70405,207,967,1411,433,3297,2891,424,0,707,1938,299,161,13725,349,0,1776,387,228,26,487,466,1687,5634,408,3649,370,6490,2009,0,185,421,2361,1760,604,993,532,811,388,65,172,2842,623,2334,1482,38,720,856,115,2537,140
Kansas,2833584,2749944,83640,434,108,2028,998,4743,5030,412,74,1581,1146,287,264,2760,863,1715,0,1167,519,481,3180,28,1947,679,1517,22033,270,1648,657,27,1189,769,780,1223,379,1616,5022,285,1494,180,1102,104,1066,6575,196,0,1986,772,0,893,1285
Kentucky,4316297,4206266,110031,925,0,1818,1058,2130,221,176,0,7400,2725,63,36,4273,11071,536,253,0,1399,71,2076,1019,3178,475,1248,2793,216,471,1358,52,1289,553,2174,3916,117,19617,1256,459,1490,640,1387,0,16852,4661,140,151,5154,1121,1174,581,57
Louisiana,4518629,4419491,99138,3065,288,2010,2774,3957,1202,358,0,5193,4425,688,230,1189,1549,468,312,1520,0,120,1221,439,1163,698,10255,1375,278,176,994,15,453,1028,1360,2134,277,2641,4235,1531,455,268,1573,37,2495,30292,179,87,2055,1075,110,339,357
Maine,1315833,1282015,33818,634,37,325,38,829,290,2481,238,4304,507,177,0,675,164,275,523,158,138,0,52,4439,702,296,0,325,10,0,150,4302,694,144,2589,1439,19,483,25,471,915,234,587,42,394,1637,182,612,570,88,43,321,21
Maryland,5759087,5605108,153979,228,671,945,423,8595,1796,1608,6652,7825,7113,1170,389,2392,1318,110,689,848,860,1526,0,3470,2077,810,1109,1469,73,0,1105,232,9627,797,9222,6686,0,3396,845,276,14158,197,2882,0,1942,3619,223,40,22089,1525,2027,353,80
Massachusetts,6515057,6375227,139830,1201,225,1017,167,11556,1388,9445,399,11396,3264,733,412,2991,640,138,969,180,977,4006,2762,0,2629,862,356,1261,596,637,163,12010,8332,199,19431,3964,61,1757,90,178,6538,10182,1621,44,371,5203,548,2246,2984,1673,911,441,0
Michigan,9766574,9627416,139158,3527,3456,3840,2054,7793,3425,1656,0,17712,4254,630,882,9897,7668,1709,1148,2578,955,599,1035,2861,0,2671,715,2509,84,439,1215,73,1849,508,6087,3405,159,11224,917,647,2864,385,2185,571,3106,9935,642,0,2327,1430,417,4018,841
Minnesota,5277329,5176300,101029,123,893,2314,951,6638,2662,74,86,2820,840,901,402,8209,786,6175,606,755,573,321,424,970,5164,0,549,1345,1457,1936,2682,21,631,540,2416,845,7574,1961,546,1800,870,0,447,5305,874,3062,919,177,1034,1413,92,19255,224
Mississippi,2943021,2874510,68511,8922,117,556,2315,4723,484,54,0,6152,3136,369,55,2068,611,650,66,1626,7139,0,265,1445,1610,614,0,1581,0,118,84,65,269,1075,364,483,0,991,566,74,2568,41,398,6,7683,5243,332,0,1453,286,303,1136,0
Missouri,5937896,5788457,149439,1395,2043,2356,6168,8386,3144,1516,0,4513,2964,871,560,20161,4404,4811,20884,1993,1728,291,716,463,2830,2026,1641,0,845,4860,1544,769,1114,1016,2904,3669,977,3240,6073,777,1810,359,267,361,2676,10293,1697,88,2684,2518,196,1503,1120
Montana,987076,953523,33553,449,1118,1971,49,3033,2856,58,365,291,231,32,1543,765,646,417,845,0,0,71,57,10,353,969,0,158,0,384,688,0,889,264,422,1173,360,321,96,1959,840,0,77,227,266,1329,1232,53,278,3835,14,146,2413
Nebraska,1817126,1765056,52070,169,721,1646,161,5124,3245,381,0,1105,434,275,506,1415,615,9575,3040,352,222,122,318,0,683,1455,424,1848,64,0,240,0,119,242,544,829,292,268,1255,1556,252,0,243,2999,226,5343,734,0,615,835,24,560,965
Nevada,2688336,2577991,110345,280,597,10142,310,40114,2714,189,184,2923,1731,4093,3929,1668,855,114,602,628,78,49,931,256,1663,1055,203,335,1137,32,0,0,2118,2136,1516,1333,0,1354,258,1691,570,86,165,588,96,7249,3365,0,1740,4680,0,2672,933
New Hampshire,1305678,1268678,37000,193,0,246,22,547,403,1617,20,1970,535,0,0,478,470,47,0,0,0,3080,222,15526,155,104,160,153,230,33,186,0,294,186,1471,1297,47,248,0,198,1015,608,588,86,126,605,158,2138,880,428,0,0,162
New Jersey,8719952,8579758,140194,189,1198,3784,57,5986,2203,1924,2100,12907,4268,264,256,3690,718,332,317,102,871,624,5335,4675,1889,1261,510,583,49,312,899,499,0,355,40815,2482,61,1121,773,360,19733,463,1586,0,1412,3801,256,0,4458,2454,1252,214,15
New Mexico,2055293,1993163,62130,410,416,7444,682,7066,5525,0,0,2806,676,81,355,466,2030,0,1333,87,184,510,2277,252,908,438,556,1183,544,353,2099,114,245,0,1445,522,264,1742,234,916,492,0,145,240,899,13633,303,71,425,924,0,340,283
New York,19248685,18966476,282209,1812,6124,2821,1041,25761,3724,15123,1124,29344,10584,1002,434,6914,2198,928,838,2414,1495,2915,5037,14646,3936,1824,401,1417,391,579,1785,2972,41450,461,0,9336,374,5191,1425,2189,26596,1393,6947,112,2660,9151,773,3882,10800,2986,631,1878,688
North Carolina,9539412,9274121,265291,5420,3991,4286,327,15373,3919,1975,954,28044,16192,1806,675,5971,3228,654,4995,1637,2936,824,10485,9053,7530,1294,1273,2638,563,1056,1048,2078,10374,1737,18321,0,189,10187,1390,1175,9450,444,20427,565,6057,6621,961,212,27302,3295,2780,2291,153
North Dakota,675161,642651,32510,97,393,1313,249,1356,1229,0,84,459,364,138,1209,571,130,208,75,0,422,50,10,369,328,12244,80,330,1227,218,845,0,183,99,264,900,0,286,59,264,652,0,1,1293,113,1862,429,0,166,404,0,1398,139
Ohio,11418944,11227166,191778,1567,1637,6763,1952,9032,2690,1189,263,16492,4290,1044,312,7027,11588,1146,657,12744,1872,0,4982,2101,14330,1788,691,2003,101,1176,1851,1992,3936,255,8784,4572,204,0,2333,1326,14292,369,3826,34,6468,11987,691,68,5425,1979,7548,2534,1280
Oklahoma,3742698,3633820,108878,591,1137,3770,6894,8233,3273,97,66,6056,3514,140,21,2179,2113,580,4626,1398,1934,271,432,160,1038,497,199,5781,803,1979,705,0,391,403,1858,1322,928,1608,0,917,1116,152,2015,600,1700,31595,587,0,1013,1246,44,942,1763
Oregon,3828714,3700808,127906,758,1935,7911,988,34214,2110,949,251,3384,1946,2491,6236,1350,1371,659,1263,71,0,269,453,1423,1652,1413,7,1172,1079,324,7222,427,1322,537,2056,1099,313,949,2034,0,1407,0,370,417,673,4498,3443,176,1179,21862,66,914,914
Pennsylvania,12610486,12376195,234291,1332,759,2278,582,10672,2491,4150,5177,19299,4627,495,236,3902,4086,1176,2323,4013,615,608,17751,6284,4406,853,1238,1761,338,582,1057,1326,36133,325,29436,11254,195,13075,283,1594,0,799,3438,142,3742,7006,1246,446,8419,3688,4631,2426,195
Rhode Island,1040022,1013253,26769,0,0,214,0,1949,301,2613,0,2230,476,0,107,373,41,82,374,211,121,228,472,7715,178,27,0,109,0,0,0,941,1224,93,2776,259,0,60,0,57,1125,0,223,0,210,207,181,621,485,262,199,2,23
South Carolina,4624180,4466536,157644,2999,2421,1971,1333,6592,1000,1752,841,15476,16355,712,55,2371,3249,1379,1885,2454,878,652,3807,730,4483,471,2163,1522,915,204,1017,372,4241,598,11317,23102,271,6327,1008,833,3523,453,0,62,3324,8623,181,91,7879,2510,1680,341,632
South Dakota,814175,786669,27506,0,554,1422,659,1286,1021,0,0,101,69,0,186,267,285,4772,144,211,0,0,254,113,239,5342,129,354,232,1695,110,0,441,513,6,166,2060,84,40,15,57,7,529,0,0,1156,560,0,79,557,0,481,1310
Tennessee,6333466,6162497,170969,9326,531,1346,7393,7130,1372,150,155,15491,17507,179,0,8593,5645,387,1805,13884,1901,9,1135,1690,5983,445,9172,3795,43,631,883,132,1396,381,4921,9353,50,5944,3166,726,3360,14,5531,181,0,7009,200,38,6098,2852,1385,1213,131
Texas,25327104,24812378,514726,8747,6670,20073,16461,58992,19126,2927,884,35777,17401,6106,4379,15064,10265,3236,12766,6616,25513,1357,9443,5035,15654,7691,6048,13473,537,3837,7793,459,7578,15225,26155,14956,809,12315,19302,3743,9107,1297,4075,1486,10788,0,5234,349,13231,15325,663,5982,2500
Utah,2769627,2684410,85217,486,2151,6585,422,18237,3986,562,0,1643,1052,1701,7538,1447,545,290,1146,611,494,0,342,959,1099,939,143,511,1241,195,4315,34,506,1707,1937,1653,2,2584,150,2037,1496,0,309,128,549,4507,0,122,2413,4825,270,158,1058
Vermont,621354,600891,20463,0,580,310,0,819,529,2105,107,366,101,143,0,386,258,0,7,627,41,322,361,2378,335,206,0,69,0,0,15,2244,962,56,3723,250,0,383,0,124,389,401,21,0,327,185,182,0,740,156,53,137,38
Virginia,7996552,7739422,257130,4930,3202,4679,645,19371,4908,5376,961,17773,8715,2917,434,4000,2703,1503,892,3630,2496,2855,22051,5386,7323,834,1682,2277,617,256,1717,1344,7327,1014,12455,22753,462,9570,853,3499,12009,1897,6612,908,7482,11655,1426,173,0,4615,9041,858,190
Washington,6748474,6539967,208507,1821,5266,12397,756,38421,3938,1026,0,6094,8705,5940,10895,2062,2303,1000,2820,1271,1016,1313,1899,1580,3720,1543,1110,3307,2125,673,4925,824,2006,1569,4512,3870,189,2686,765,29168,2296,463,1519,227,2342,15491,4789,119,4233,0,157,1491,1507
West Virginia,1836614,1786546,50068,221,598,50,225,1442,124,594,89,2949,1296,147,120,1331,210,0,0,515,326,45,7515,236,459,0,0,309,60,78,293,160,1431,0,2017,3865,0,8545,97,132,4205,284,1857,0,546,1574,114,23,5561,83,0,42,0
Wisconsin,5647213,5537774,109439,708,432,4045,335,6637,2592,993,219,4338,1745,1108,566,25521,4017,3306,418,1040,850,12,147,733,5623,17927,983,2090,143,483,663,480,378,714,2213,2120,1383,1358,118,1057,1294,368,377,590,744,1984,890,342,2573,1555,1090,0,14
Wyoming,561389,530738,30651,51,761,369,174,2539,6905,11,0,1525,46,0,2140,450,6,342,286,83,114,0,0,152,849,357,70,241,1105,1784,427,0,7,76,113,395,237,22,462,960,284,13,219,1043,69,1398,2140,4,451,1803,0,168,0
