Location,Population,Residents,Transfer,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Florida,20068392,19483454,584938,15449,1553,7168,6850,21217,9206,14887,1685,1512,0,38654,2978,846,26406,13396,3142,3648,10036,6560,5178,16449,16651,26138,5433,5415,10480,1150,1706,6008,5175,29390,3762,69289,24003,1363,27403,2710,1568,28826,2523,13949,1400,19864,29706,1932,1480,23377,3819,3479,9195,924
Georgia,10088525,9805200,283325,16372,669,1713,1668,15675,4456,1995,205,652,47286,0,995,230,9960,5212,908,2614,5313,3277,735,4328,2496,5744,3078,4395,4897,185,1010,2526,649,7403,1122,14853,16095,0,7840,1543,1528,6493,205,17395,0,18087,16078,1523,157,15852,2377,1300,3352,879
Hawaii,1414355,1360613,53742,240,164,2701,194,10952,1618,781,0,159,2013,1231,0,359,1936,471,308,917,1108,455,255,654,601,834,733,164,633,98,191,1193,80,524,115,2191,2486,0,539,1041,2244,981,429,1214,0,331,2031,1707,0,3402,3176,130,158,0
Idaho,1635366,1561557,73809,564,1061,3152,1441,18928,3659,127,0,0,1864,1079,0,0,857,147,120,1201,792,240,128,170,457,100,533,0,1864,1466,0,1891,119,27,391,1003,226,833,563,567,7295,217,0,196,152,419,2959,6625,343,689,6499,441,122,2282
Illinois,12706393,12496565,209828,1853,350,6776,1452,18953,3998,1473,171,1050,11428,5581,1697,474,0,14473,9969,1267,2654,2022,563,2549,3460,11936,4832,2503,15395,636,1791,2266,170,3259,757,6923,4458,418,10281,2549,1838,4810,438,1805,295,5566,11719,607,302,5804,3377,808,11785,287
Indiana,6540691,6393162,147529,2130,0,2871,640,6407,2271,681,105,71,7523,3710,405,1176,34221,0,514,1037,13386,968,698,811,1172,11465,1620,646,3176,970,874,2359,116,2120,802,3175,2802,887,12940,1244,100,2827,166,577,130,3491,5878,709,168,2886,1210,29,3193,172
Iowa,3081446,2995509,85937,285,734,3069,1926,2899,2158,173,0,112,3498,1449,360,665,19702,1564,0,1090,194,604,137,287,487,730,8401,433,4932,123,7216,659,269,698,403,295,852,287,2013,1391,605,154,95,875,1535,1747,4325,77,95,834,2086,45,3140,229
Kansas,2875640,2784300,91340,717,201,2079,1504,6137,5327,436,340,125,3364,2002,457,76,2870,1470,2970,0,1612,458,145,815,621,2205,729,20,21840,6,3138,460,189,759,1425,1665,1982,7,1085,4626,673,1412,0,683,95,1928,7577,1767,0,1053,1548,160,189,393
Kentucky,4373403,4266485,106918,1463,237,772,516,4828,1510,371,391,211,7031,4830,373,0,4776,9982,750,1976,0,280,477,2040,1197,2617,509,528,1731,0,894,404,22,273,463,3383,3622,49,14779,786,1143,3135,0,1967,0,12533,5595,327,0,2015,1668,3349,590,525
Louisiana,4612024,4518703,93321,3318,101,279,2993,7318,1178,164,15,92,5404,4077,302,60,2942,1120,457,1115,2009,0,47,1149,837,1776,592,11095,738,57,112,731,51,1715,524,4417,2292,205,1492,2282,112,1831,161,1505,0,2957,19863,180,0,1732,1486,90,322,26
Maine,1317444,1287321,30123,0,32,256,0,1286,585,1616,0,120,2602,108,346,89,297,172,212,356,292,617,0,216,4433,168,25,0,0,16,225,29,4443,1255,0,1947,766,0,478,42,471,987,890,418,22,220,1817,159,769,480,429,35,189,208
Maryland,5934005,5765111,168894,1526,361,2649,54,10859,3002,2006,6454,22051,10321,5056,3228,0,2248,2016,679,881,391,323,109,0,3259,1915,638,767,1905,148,850,988,440,7283,344,10850,5562,184,3477,533,299,14928,799,1764,96,1634,5611,318,174,24293,1561,2605,1183,272
Massachusetts,6725678,6593036,132642,269,459,2110,576,9519,2046,8283,709,1213,11835,2383,228,422,3192,1267,0,236,122,561,3417,3696,0,1086,1433,499,1568,30,300,758,8220,7201,326,23014,2114,96,1377,500,967,7538,7407,1115,0,316,4398,405,3046,3444,1828,286,827,0
Michigan,9811416,9668777,142639,1387,1701,4007,992,10202,1993,764,114,445,11547,3687,847,725,13252,9300,594,2267,2111,1291,590,1214,3158,0,3209,633,3104,683,395,2044,397,1359,868,4343,3285,879,14593,753,892,5737,271,1427,558,4846,8466,555,189,2836,1951,885,5136,157
Minnesota,5419822,5311346,108476,105,363,3978,405,6739,2709,578,34,282,3502,1344,270,486,6974,965,6996,1272,608,382,77,1270,1369,2742,0,220,1812,760,2073,427,455,419,712,3529,2622,7636,2525,661,864,662,144,330,5362,1773,4814,1100,12,4014,2404,34,18934,728
Mississippi,2959289,2889938,69351,6827,474,337,1497,3566,522,0,0,0,6113,3111,235,262,1371,757,328,162,1002,8678,0,681,906,957,10,0,702,248,18,732,0,1604,106,271,1088,0,1109,1190,97,360,0,731,0,9494,8842,70,0,1794,1589,725,754,31
Missouri,6015580,5856428,159152,1449,920,3305,7887,9646,4791,268,254,405,7190,2055,1357,915,23915,3563,6004,20834,1724,690,275,918,1719,1647,2813,1930,0,99,3820,1600,137,1291,685,3176,4526,392,4660,4893,2044,1901,200,1360,858,2940,9634,955,0,1867,2611,498,1932,599
Montana,1019646,976886,42760,0,657,1187,320,4339,3268,0,0,0,955,568,99,5182,1012,1564,606,301,102,0,201,153,39,791,633,61,1452,0,168,1151,283,133,21,139,1358,1801,294,105,408,143,51,71,308,179,3235,1807,15,331,4959,50,251,2009
Nebraska,1869217,1816267,52950,32,122,1489,741,3317,3571,300,34,13,1805,556,110,299,4450,539,6081,3294,508,516,586,259,40,753,2156,218,2276,307,0,393,0,45,1542,834,818,575,343,1139,299,692,0,159,2117,478,4460,801,8,1003,785,0,1341,746
Nevada,2859489,2723490,135999,1830,1017,5598,50,54765,2058,1681,0,94,6001,868,3747,2514,3552,2149,651,855,707,318,66,816,792,2597,2966,152,778,1481,801,0,64,522,1388,3317,1873,309,1205,264,2575,2102,325,1374,126,123,5271,5845,0,1932,6513,280,1144,543
New Hampshire,1318121,1264675,53446,125,0,669,0,2609,941,2744,173,291,3039,227,54,0,563,1052,109,0,361,394,4956,307,19187,636,431,241,248,0,84,128,0,581,245,3364,670,0,565,0,351,1259,931,0,0,0,1407,0,3233,1039,0,28,204,0
New Jersey,8854363,8710289,144074,250,839,1521,243,5447,768,2781,1142,845,9284,3630,597,0,2438,1693,77,275,205,1933,306,3215,4901,1616,715,273,607,0,214,716,517,0,935,50792,4947,48,1660,235,423,23371,672,2805,72,869,4778,36,204,3124,1152,457,240,206
New Mexico,2060441,2004688,55753,356,278,3441,42,6721,5395,161,0,0,2150,1120,638,611,1267,428,181,303,329,218,663,539,483,1159,318,1327,343,278,0,688,112,747,0,1632,540,0,1322,1311,175,473,87,1098,0,660,12101,1452,128,2350,1435,129,120,444
New York,19570171,19312560,257611,850,1020,5993,1054,25510,3101,11684,1231,5619,26192,6462,482,0,6499,2426,589,1061,1115,1790,1138,7167,16726,4390,1876,1083,2441,292,144,1116,1668,34588,969,0,8543,260,3256,1472,1624,25385,944,4912,267,2562,12082,1451,3118,8333,3942,1083,1781,320
North Carolina,9927547,9616935,310612,3733,578,5963,707,16985,3634,6709,1676,3401,27771,17676,2910,729,8100,4903,3180,2260,4702,2632,1904,11383,5387,6588,2635,721,3207,576,1631,1854,1195,13233,1958,23594,0,1176,7405,1067,733,12979,838,27321,1730,7575,15245,1278,691,31390,1883,3387,1217,582
North Dakota,745291,702673,42618,0,196,1008,255,2601,984,261,0,0,367,367,39,205,730,150,2500,84,30,244,0,307,103,1722,13712,238,1187,1214,425,262,240,0,223,1055,376,0,928,459,22,24,18,337,2300,420,3968,168,0,121,1675,199,660,234
Ohio,11482142,11278667,203475,2038,1330,4257,1404,11145,3137,2126,221,1493,12911,5971,461,0,11733,11837,1418,1182,13849,1273,643,3591,3603,13867,1772,890,3246,285,647,1959,1510,3475,443,11176,6777,329,0,1058,1539,15932,307,2804,80,5162,11553,602,110,8655,2601,9059,1977,37
Oklahoma,3864908,3754030,110878,957,278,2495,6881,7753,4362,66,666,365,3779,2757,679,317,3493,905,658,10058,660,2604,304,1186,1052,3298,1015,712,3709,219,977,701,119,917,2070,1922,2083,648,1872,0,275,770,270,945,65,1293,28642,1020,203,1686,1457,641,924,150
Oregon,3985712,3844550,141162,654,1617,6349,631,40447,3011,567,502,789,2795,1288,3476,6377,1653,826,1553,582,0,1601,234,878,2295,1644,2035,146,1668,3424,370,2855,1292,164,685,2028,2106,299,1720,800,0,2018,189,1378,72,1190,4761,1649,442,2329,25055,106,1591,1021
Pennsylvania,12662192,12429509,232683,1663,368,2921,765,10249,3115,5967,7615,1487,14676,3600,524,879,4054,2227,506,998,1855,199,963,17424,5285,3274,1799,1560,972,259,82,1057,1685,41578,658,32857,7228,345,13453,776,1168,0,896,3263,223,1979,7490,2073,785,11249,1056,5173,1731,674
Rhode Island,1045062,1006718,38344,39,93,647,0,1879,285,3861,0,6,4363,191,18,244,265,53,0,169,118,60,422,500,12652,61,58,37,355,0,0,58,690,1380,0,2951,1140,0,274,0,394,1040,0,445,0,908,1164,427,78,356,636,27,0,0
South Carolina,4839984,4669618,170366,1854,250,900,1612,5915,2725,3355,214,262,16323,15548,602,285,4051,2033,1036,676,3007,1751,1006,4963,3002,3496,987,1309,2086,198,195,659,566,4951,177,9301,31369,189,6694,705,560,9489,628,0,70,5542,5987,1243,388,8736,751,1498,1222,0
South Dakota,848285,821323,26962,14,289,1240,486,1340,1200,32,0,0,263,268,0,92,1075,157,2290,308,31,0,0,207,0,190,3878,10,440,391,2606,353,0,36,28,0,366,2669,29,219,54,84,0,1138,0,404,1742,591,0,358,126,0,532,1426
Tennessee,6522259,6326336,195923,10291,624,2513,6071,10032,1722,995,317,417,17853,13585,1124,354,6764,7128,1153,3227,14772,2784,943,2664,4061,6454,1667,9473,2620,135,1850,954,454,1549,340,6972,11838,727,6802,2580,522,2472,455,4148,519,0,11934,1097,1397,6382,485,1044,1480,179
Texas,27092848,26539816,553032,7167,2573,16067,14539,65546,22587,3973,2051,1423,33670,20924,3342,995,21927,9413,5874,9952,4884,31044,1144,10839,8279,13919,4956,13476,17273,2210,4486,7822,1407,11141,16056,26287,15869,976,12077,25555,3906,12984,1060,5617,762,13199,0,6583,395,18429,9155,2083,4393,2743
Utah,2947423,2850062,97361,369,1630,7650,230,18154,3964,295,61,186,2383,1032,2239,6413,1374,501,301,692,220,268,152,672,1029,575,519,1145,1221,2115,264,5073,340,1078,1645,1853,1648,254,1623,1214,1838,2710,0,323,496,1122,8698,0,193,1628,5426,138,1798,2609
Vermont,619952,598720,21232,245,17,69,0,968,376,1379,70,286,442,410,0,79,265,0,97,18,199,138,999,561,2840,765,10,0,0,67,0,0,2496,1607,83,3034,326,0,377,0,81,327,750,118,54,435,144,175,0,274,636,0,0,15
Virginia,8283737,8006022,277715,2888,1221,2181,856,24500,3804,3594,1199,10969,23691,9628,1912,272,9699,2442,1204,1724,2802,3993,1548,28155,3632,3421,2788,1920,3048,27,971,639,865,9447,973,18267,18298,214,5961,2219,135,13379,1623,8906,216,9637,16685,1763,680,0,4134,7673,1645,267
Washington,7089143,6858236,230907,580,3911,9860,1146,45609,7258,586,39,407,10822,5415,4386,10311,5794,1611,1002,2728,875,632,655,3844,2600,2578,3503,916,2535,4936,301,4820,681,3214,878,4983,3105,1283,2654,3736,32570,2857,116,2469,457,2794,12829,5827,180,5901,0,1098,2860,755
West Virginia,1823753,1781675,42078,240,0,0,7,875,491,570,231,460,2867,777,0,45,349,747,8,103,1871,0,156,5308,126,524,371,249,367,0,0,0,0,221,161,285,1846,0,6802,177,348,3925,123,1166,0,968,967,483,147,7400,223,0,94,0
Wisconsin,5708201,5601690,106511,322,188,2540,289,5230,1568,1104,88,649,2589,2202,384,302,23233,2266,5822,996,728,1015,46,895,869,4897,19812,684,1850,174,587,692,82,1142,187,2293,1525,561,1705,1432,1064,1660,69,324,243,2261,4665,468,14,2066,2129,8,0,592
Wyoming,579102,543155,35947,253,263,1196,197,2350,9132,271,0,29,109,438,80,1414,398,134,251,2,204,314,790,10,0,48,788,0,184,993,1742,1021,0,0,488,191,44,501,162,130,46,15,6,27,1233,143,4587,3725,6,564,1051,0,417,0
