Location,Population,Residents,Transfer,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
United States,317635720,310105591,7530129,100809,40552,184476,76673,643710,182945,103343,30881,64736,445320,249302,60459,55885,337592,141616,81054,99652,109026,100167,37053,181803,174793,180337,127471,81358,155529,32620,53210,99409,41885,227380,68415,448855,237206,31867,213236,98771,109240,262887,29918,134555,25769,176961,445343,84071,22135,268593,178528,51953,109243,31537
Alabama,4801599,4686723,114876,0,767,1865,2329,3397,1927,894,77,521,15755,27433,399,0,2400,1184,478,1277,1365,1566,97,1435,446,2540,193,7442,1174,120,339,539,166,193,773,2061,3974,1162,1513,725,593,2690,43,1968,103,7206,6469,362,173,4772,871,445,491,164
Alaska,727862,693166,34696,279,0,658,73,3062,1815,109,0,0,1473,1044,732,544,819,138,193,434,238,210,17,444,449,955,1173,0,905,461,233,2129,338,0,766,1028,2078,71,408,780,1389,263,0,873,312,133,2196,337,53,521,3988,0,161,414
Arizona,6747595,6494314,253281,607,2519,0,553,54646,11039,2417,927,330,7833,3671,2069,2835,11017,4087,3963,2625,3599,1801,780,2105,3030,9069,8499,544,4069,1798,986,7153,445,2782,8030,5564,5323,1150,5147,3906,7163,3910,298,842,1582,3253,13025,10165,406,3801,14183,0,5262,2473
Arkansas,2938341,2856747,81594,956,205,1683,0,5075,2429,0,79,196,2641,2407,45,214,2999,784,589,2036,497,3601,0,70,521,1922,114,3415,6367,1058,337,292,0,122,645,395,2006,143,777,7505,34,358,0,311,146,6033,17708,445,36,2355,313,143,1312,275
California,38675135,38160658,514477,5273,6022,34204,2867,0,21157,6205,1118,3908,25638,11630,10475,5840,26189,8650,1394,3943,3781,6324,1745,9981,12628,8852,4887,2539,6465,2017,3282,25332,1859,12890,5239,36896,12463,1035,12836,8350,20838,13595,2179,6301,610,8781,41713,8814,766,15009,33131,413,6741,1672
Colorado,5393067,5165622,227445,2392,1653,10254,1527,29029,0,2253,77,1132,12623,4644,4277,1692,11398,1982,2718,6294,1678,3007,185,2286,2378,3739,5443,881,6798,910,4201,3723,583,3227,6393,5748,3489,1388,3263,3072,4836,4870,43,2410,732,2314,25268,4064,1094,7686,7368,1232,5916,3275
Connecticut,3554844,3477847,76997,163,68,187,0,4240,467,0,344,379,6122,1268,429,51,1696,777,362,135,30,139,939,917,9498,467,548,84,638,0,0,127,1202,3688,725,23820,1394,95,1836,265,290,2348,3035,926,362,237,2519,95,262,2301,1236,63,223,0
Delaware,935813,891318,44495,76,344,282,0,725,192,508,0,279,883,327,0,0,632,207,124,154,75,0,376,6749,1161,162,81,26,82,0,0,0,47,4345,846,4759,1504,423,92,54,90,13965,0,659,0,82,1423,32,78,2112,420,119,0,0
District of Columbia ,663006,603101,59905,359,235,367,203,4119,433,1292,252,0,2731,1013,52,5,785,748,135,33,275,392,258,14726,2876,1308,545,338,141,0,674,68,47,1804,40,5133,1501,0,1027,150,157,1999,234,1806,9,873,1314,177,117,8028,134,478,514,0
